,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.4,0.20330856910116504,50.0,0
1,1,500,0.4,0.36525779136,50.0,0
2,2,750,0.0,0.0,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,0.8,0.764792032,50.0,0
5,5,1500,0.0,0.0,50.0,0
6,6,1750,0.0,0.0,50.0,0
7,7,2000,0.0,0.0,50.0,0
8,8,2250,0.0,0.0,50.0,0
9,9,2500,0.0,0.0,50.0,0
10,10,2750,0.0,0.0,50.0,0
11,11,3000,0.0,0.0,50.0,0
12,12,3250,0.0,0.0,50.0,0
13,13,3500,0.0,0.0,50.0,0
14,14,3750,1.4,1.1509112560311938,50.0,0
15,15,4000,0.4,0.31446337295511073,50.0,0
16,16,4250,0.0,0.0,50.0,0
17,17,4500,1.6,1.3137983492312248,50.0,0
18,18,4750,0.2,0.14475954411849912,50.0,0
19,19,5000,0.0,0.0,50.0,0
20,20,5250,0.0,0.0,50.0,0
21,21,5500,0.8,0.3676246976967035,50.0,0
22,22,5750,1.2,0.8859952378589376,50.0,0
23,23,6000,0.0,0.0,50.0,0
24,24,6250,0.8,0.30811778046549304,50.0,0
25,25,6500,2.8,1.4052849088645045,50.0,0
26,26,6750,0.8,0.5577261444841038,50.0,0
27,27,7000,0.2,0.15072838829498034,50.0,0
28,28,7250,0.8,0.6096720491644858,50.0,0
29,29,7500,1.8,1.0435315286536277,50.0,0
30,30,7750,0.0,0.0,50.0,0
31,31,8000,0.8,0.6343086541264492,50.0,0
32,32,8250,3.4,1.647393271704436,50.0,0
33,33,8500,1.8,0.8572298111971707,50.0,0
34,34,8750,0.0,0.0,50.0,0
35,35,9000,0.4,0.37271203199999997,50.0,0
36,36,9250,2.0,1.6152343226757329,50.0,0
37,37,9500,0.6,0.36473902902817024,50.0,0
38,38,9750,0.4,0.25148881904772175,50.0,0
39,39,10000,0.2,0.18823839999999997,50.0,0
40,40,10250,0.6,0.5424262675328,50.0,0
41,41,10500,0.8,0.4278779179353164,50.0,0
42,42,10750,0.2,0.1771684761728,50.0,0
43,43,11000,0.8,0.7763184,50.0,0
44,44,11250,0.0,0.0,50.0,0
45,45,11500,1.4,1.1150204187740291,50.0,0
46,46,11750,0.4,0.3236928971729899,50.0,0
47,47,12000,0.8,0.7582326045163571,50.0,0
48,48,12250,0.6,0.52470218795883,50.0,0
49,49,12500,0.6,0.4805041762744285,50.0,0
