,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,1.8,1.8,50.0,0
1,1,500,1.6,1.6,50.0,0
2,2,750,0.4,0.4,50.0,0
3,3,1000,2.0,2.0,50.0,0
4,4,1250,0.4,0.4,50.0,0
5,5,1500,0.6,0.6,50.0,0
6,6,1750,3.0,3.0,50.0,0
7,7,2000,0.4,0.4,50.0,0
8,8,2250,1.0,1.0,50.0,0
9,9,2500,0.8,0.8,50.0,0
10,10,2750,0.6,0.6,50.0,0
11,11,3000,2.4,2.4,50.0,0
12,12,3250,5.2,5.2,50.0,0
13,13,3500,4.8,4.8,50.0,0
14,14,3750,5.8,5.8,50.0,0
15,15,4000,13.6,13.6,50.0,0
16,16,4250,15.6,15.6,50.0,0
17,17,4500,8.2,8.2,50.0,0
18,18,4750,13.4,13.4,50.0,0
19,19,5000,17.4,17.4,50.0,0
20,20,5250,12.0,12.0,50.0,0
21,21,5500,8.2,8.2,50.0,0
22,22,5750,23.4,23.4,50.0,0
23,23,6000,22.4,22.4,50.0,0
24,24,6250,16.2,16.2,50.0,0
25,25,6500,19.2,19.2,50.0,0
26,26,6750,28.6,28.6,50.0,0
27,27,7000,29.0,29.0,50.0,0
28,28,7250,19.4,19.4,50.0,0
29,29,7500,20.0,20.0,50.0,0
30,30,7750,24.4,24.4,50.0,0
31,31,8000,24.2,24.2,50.0,0
32,32,8250,17.2,17.2,50.0,0
33,33,8500,21.6,21.6,50.0,0
34,34,8750,26.4,26.4,50.0,0
35,35,9000,21.6,21.6,50.0,0
36,36,9250,21.8,21.8,50.0,0
37,37,9500,20.8,20.8,50.0,0
38,38,9750,24.4,24.4,50.0,0
39,39,10000,23.0,23.0,50.0,0
40,40,10250,16.6,16.6,50.0,0
41,41,10500,20.0,20.0,50.0,0
42,42,10750,31.2,31.2,50.0,0
43,43,11000,22.8,22.8,50.0,0
44,44,11250,22.6,22.6,50.0,0
45,45,11500,26.0,26.0,50.0,0
46,46,11750,25.0,25.0,50.0,0
47,47,12000,22.8,22.8,50.0,0
48,48,12250,22.8,22.8,50.0,0
49,49,12500,26.8,26.8,50.0,0
