,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,3.0,3.0,50.0,0
1,1,500,1.0,1.0,50.0,0
2,2,750,0.8,0.8,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,6.2,6.2,50.0,0
5,5,1500,0.8,0.8,50.0,0
6,6,1750,1.4,1.4,50.0,0
7,7,2000,4.6,4.6,50.0,0
8,8,2250,6.8,6.8,50.0,0
9,9,2500,8.4,8.4,50.0,0
10,10,2750,5.8,5.8,50.0,0
11,11,3000,7.2,7.2,50.0,0
12,12,3250,13.2,13.2,50.0,0
13,13,3500,13.6,13.6,50.0,0
14,14,3750,15.2,15.2,50.0,0
15,15,4000,19.6,19.6,50.0,0
16,16,4250,19.4,19.4,50.0,0
17,17,4500,22.0,22.0,50.0,0
18,18,4750,18.6,18.6,50.0,0
19,19,5000,21.2,21.2,50.0,0
20,20,5250,22.8,22.8,50.0,0
21,21,5500,25.2,25.2,50.0,0
22,22,5750,17.0,17.0,50.0,0
23,23,6000,25.4,25.4,50.0,0
24,24,6250,23.8,23.8,50.0,0
25,25,6500,26.8,26.8,50.0,0
26,26,6750,33.8,33.8,50.0,0
27,27,7000,28.0,28.0,50.0,0
28,28,7250,27.0,27.0,50.0,0
29,29,7500,28.2,28.2,50.0,0
30,30,7750,32.0,32.0,50.0,0
31,31,8000,31.6,31.6,50.0,0
32,32,8250,31.0,31.0,50.0,0
33,33,8500,33.2,33.2,50.0,0
34,34,8750,32.2,32.2,50.0,0
35,35,9000,32.0,32.0,50.0,0
36,36,9250,34.0,34.0,50.0,0
37,37,9500,29.8,29.8,50.0,0
38,38,9750,30.8,30.8,50.0,0
39,39,10000,31.6,31.6,50.0,0
40,40,10250,35.0,35.0,50.0,0
41,41,10500,29.6,29.6,50.0,0
42,42,10750,34.2,34.2,50.0,0
43,43,11000,32.6,32.6,50.0,0
44,44,11250,31.2,31.2,50.0,0
45,45,11500,33.4,33.4,50.0,0
46,46,11750,33.2,33.2,50.0,0
47,47,12000,29.2,29.2,50.0,0
48,48,12250,34.0,34.0,50.0,0
49,49,12500,30.4,30.4,50.0,0
